unique_id,ds,y
D1,1/1/1949,112
D1,2/1/1949,118
D1,3/1/1949,132
D1,4/1/1949,129
D1,5/1/1949,121
D1,6/1/1949,135
D1,7/1/1949,148
D1,8/1/1949,148
D1,9/1/1949,136
D1,10/1/1949,119
D1,11/1/1949,104
D1,12/1/1949,118
D1,1/1/1950,115
D1,2/1/1950,126
D1,3/1/1950,141
D1,4/1/1950,135
D1,5/1/1950,125
D1,6/1/1950,149
D1,7/1/1950,170
D1,8/1/1950,170
D1,9/1/1950,158
D1,10/1/1950,133
D1,11/1/1950,114
D1,12/1/1950,140
D1,1/1/1951,145
D1,2/1/1951,150
D1,3/1/1951,178
D1,4/1/1951,163
D1,5/1/1951,172
D1,6/1/1951,178
D1,7/1/1951,199
D1,8/1/1951,199
D1,9/1/1951,184
D1,10/1/1951,162
D1,11/1/1951,146
D1,12/1/1951,166
D1,1/1/1952,171
D1,2/1/1952,180
D1,3/1/1952,193
D1,4/1/1952,181
D1,5/1/1952,183
D1,6/1/1952,218
D1,7/1/1952,230
D1,8/1/1952,242
D1,9/1/1952,209
D1,10/1/1952,191
D1,11/1/1952,172
D1,12/1/1952,194
D1,1/1/1953,196
D1,2/1/1953,196
D1,3/1/1953,236
D1,4/1/1953,235
D1,5/1/1953,229
D1,6/1/1953,243
D1,7/1/1953,264
D1,8/1/1953,272
D1,9/1/1953,237
D1,10/1/1953,211
D1,11/1/1953,180
D1,12/1/1953,201
D1,1/1/1954,204
D1,2/1/1954,188
D1,3/1/1954,235
D1,4/1/1954,227
D1,5/1/1954,234
D1,6/1/1954,264
D1,7/1/1954,302
D1,8/1/1954,293
D1,9/1/1954,259
D1,10/1/1954,229
D1,11/1/1954,203
D1,12/1/1954,229
D1,1/1/1955,242
D1,2/1/1955,233
D1,3/1/1955,267
D1,4/1/1955,269
D1,5/1/1955,270
D1,6/1/1955,315
D1,7/1/1955,364
D1,8/1/1955,347
D1,9/1/1955,312
D1,10/1/1955,274
D1,11/1/1955,237
D1,12/1/1955,278
D1,1/1/1956,284
D1,2/1/1956,277
D1,3/1/1956,317
D1,4/1/1956,313
D1,5/1/1956,318
D1,6/1/1956,374
D1,7/1/1956,413
D1,8/1/1956,405
D1,9/1/1956,355
D1,10/1/1956,306
D1,11/1/1956,271
D1,12/1/1956,306
D1,1/1/1957,315
D1,2/1/1957,301
D1,3/1/1957,356
D1,4/1/1957,348
D1,5/1/1957,355
D1,6/1/1957,422
D1,7/1/1957,465
D1,8/1/1957,467
D1,9/1/1957,404
D1,10/1/1957,347
D1,11/1/1957,305
D1,12/1/1957,336
D1,1/1/1958,340
D1,2/1/1958,318
D1,3/1/1958,362
D1,4/1/1958,348
D1,5/1/1958,363
D1,6/1/1958,435
D1,7/1/1958,491
D1,8/1/1958,505
D1,9/1/1958,404
D1,10/1/1958,359
D1,11/1/1958,310
D1,12/1/1958,337
D1,1/1/1959,360
D1,2/1/1959,342
D1,3/1/1959,406
D1,4/1/1959,396
D1,5/1/1959,420
D1,6/1/1959,472
D1,7/1/1959,548
D1,8/1/1959,559
D1,9/1/1959,463
D1,10/1/1959,407
D1,11/1/1959,362
D1,12/1/1959,405
D1,1/1/1960,417
D1,2/1/1960,391
D1,3/1/1960,419
D1,4/1/1960,461
D1,5/1/1960,472
D1,6/1/1960,535
D1,7/1/1960,622
D1,8/1/1960,606
D1,9/1/1960,508
D1,10/1/1960,461
D1,11/1/1960,390
D1,12/1/1960,432
